Дата указания,Номер указания,Тип ограничения,Дата начала,Страна происхождения,Территория страны,Продукция (транзит)
43970.68023148148,ФС-АРэ-7/3379-3,Отмена ограничений,43971,Словакия,Нитранский; Трнавский,Без ограничений
43972.68881944445,ФС-АРэ-7/3382-3,Введение ограничений,43972,Намибия,Все регионы,Без ограничений
43978.70925925926,ФС-АРэ-7/3394-3,Введение ограничений,43978,Индия,Все регионы,Без ограничений
43997.56167824074,ФС-АРэ-7/3418-3,Введение ограничений,43997,Мьянма,Все регионы,Без ограничений
44007.40070601852,ФС-АРэ-7/3425-3,Введение ограничений,44007,Нигерия,Все регионы,Без ограничений
44011.66493055555,ФС-АРэ-7/3426-3,Введение ограничений,44011,ЮАР,Все регионы,Без ограничений
44012.54914351852,ФС-АРэ-7/3428-3,Введение ограничений,44012,Италия,Венеция; Ломбардия,Без ограничений
44025.56802083334,ФС-АРэ-7/3447-3,Отмена ограничений,44026,Соединенные Штаты Америки,Калифорния,Без ограничений
44028.38266203704,ФС-АРэ-7/3452-3,Введение ограничений,44028,Северная Македония,Все регионы,Без ограничений
44053.74726851852,ФС-АРэ-7/3477-3,Введение ограничений,44053,Болгария,Все регионы,Живая птица
44055.739375,ФС-АРэ-7/3478-3,Введение ограничений,44055,Австралия,Все регионы,Без ограничений
44060.66516203704,ФС-АРэ-7/3479-3,Введение ограничений,44060,Замбия,Все регионы,Без ограничений
44098.47993055556,ФС-АРэ-7/3505-3,Введение ограничений,44098,Люксембург,Все регионы,крупный и мелкий рогатый скот и восприимчивые виды животных
44104.73237268518,ФС-АРэ-7/3514-3,Отмена ограничений,44104,Венгрия,Хайду-Бихар,живая птица
44138.42888888889,ФС-АРэ-7/3542-3,Введение ограничений,44138,Нидерланды,Все регионы,живая птица
44144.57060185185,ФС-АРэ-7/3548-3,Введение ограничений,44144,Соединенное Королевство,Все регионы,живая птица
44144.57231481482,ФС-АРэ-7/3549-3,Введение ограничений,44144,Соединенное Королевство,Все регионы,живая птица
44145.40142361111,ФС-АРэ-7/3550-3,Введение ограничений,44145,Германия,Все регионы,живая птица
44146.65876157407,ФС-АРэ-7/3556-3,Введение ограничений,44146,Япония,Все регионы,Без ограничений
44152.74559027778,ФС-АРэ-7/3562-3,Введение ограничений,44152,Германия,Мекленбург-Передняя Померания,живая птица
44153.42511574074,ФС-АРэ-7/3564-3,Введение ограничений,44153,Соединенное Королевство,Все регионы,живая птица
44154.39877314815,ФС-АРэ-7/3568-3,Введение ограничений,44154,Дания,Все регионы,живая птица
44161.45969907408,ФС-АРэ-7/3570-3,Введение ограничений,44161,Хорватия,Все регионы,живая птица
44161.49040509259,ФС-АРэ-7/3571-3,Введение ограничений,44161,Швеция,Сконе,живая птица
44162.41208333334,ФС-АРэ-7/3573-3,Введение ограничений,44162,Соединенное Королевство,Все регионы,живая птица
44162.63756944444,ФС-АРэ-7/3575-3,Введение ограничений,44162,Польша,Все регионы,живая птица
44165.72774305556,ФС-АРэ-7/3578-3,Введение ограничений,44165,Бельгия,Все регионы,живая птица
44167.59793981481,ФС-АРэ-7/3580-3,Введение ограничений,44167,Германия,Все регионы,живая птица
44175.54148148148,ФС-АРэ-7/3587-3,Введение ограничений,44175,Франция,Все регионы,живая птица
44175.62333333334,ФС-АРэ-7/3589-3,Введение ограничений,44175,Испания,Страна Басков; Наварра,"крупный и мелкий рогатый скот и восприимчивые виды животных,"
44176.54791666667,ФС-АРэ-7/3591-3,Введение ограничений,44176,Германия,Мекленбург-Передняя Померания,живая птица
44181.71690972222,ФС-АРэ-7/3598-3,Введение ограничений,44181,Ирландия,Все регионы,живая птица и инкубационное яйцо
44181.72028935186,ФС-АРэ-7/3599-3,Введение ограничений,44181,Франция,Все регионы,живая птица и инкубационное яйцо
44181.72638888889,ФС-АРэ-7/3600-3,Введение ограничений,44181,Нидерланды,Южная Голландия,живая птица
44196.53929398148,ФС-АРэ-7/3612-3,Введение ограничений,44196,Германия,Нижняя Саксония,живая птица
44201.72107638889,ФС-АРэ-7/3613-3,Введение ограничений,44201,Франция,Окситания,живая птица и инкубационное яйцо
44208.54630787037,ФС-АРэ-7/3614-3,Введение ограничений,44208,Франция,Все регионы,живая птица и инкубационное яйцо
44208.56420138889,ФС-АРэ-7/3615-3,Введение ограничений,44208,Германия,Все регионы,живая птица
44210.52664351852,ФС-АРэ-7/3616-3,Введение ограничений,44210,Литва,Все регионы,живая птица и инкубационное яйцо
44214.71991898148,ФС-АРэ-7/3623-3,Введение ограничений,44214,Франция,Все регионы,живая птица
44216.58660879629,ФС-АРэ-7/3624-3,Введение ограничений,44216,Германия,Все регионы,живая птица
44223.4927662037,ФС-АРэ-7/3636-3,Введение ограничений,44223,Руанда,Все регионы,Без ограничений
44223.76334490741,ФС-АРэ-7/3626-3,Введение ограничений,44223,Франция,Все регионы,живая птица
44223.76726851852,ФС-АРэ-7/3627-3,Введение ограничений,44223,Словакия,Трнавский,живая птица
44223.77258101852,ФС-АРэ-7/3628-3,Введение ограничений,44223,Швеция,Кальмар,живая птица
44223.77585648148,ФС-АРэ-7/3637-3,Введение ограничений,44223,Чешская Республика,Южно-Чешский,живая птица
44225.72959490741,ФС-АРэ-7/3638-3,Введение ограничений,44225,Румыния,Все регионы,Без ограничений
44225.73283564814,ФС-АРэ-7/3642-3,Введение ограничений,44225,Франция,Все регионы,живая птица
44228.62462962963,ФС-АРэ-7/3650-3,Введение ограничений,44228,Шри-Ланка,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44228.64285879629,ФС-АРэ-7/3649-3,Введение ограничений,44228,Франция,Все регионы,живая птица
44229.42087962963,ФС-АРэ-7/3651-3,Введение ограничений,44229,Бутан,Все регионы,Без ограничений
44229.48407407408,ФС-АРэ-7/3652-3,Введение ограничений,44229,Сенегал,Все регионы,"введены временные ограничения на транзит по территории Российской Федерации живой птицы, происходящей из Сенегала"
44229.52751157407,ФС-АРэ-7/3653-3,Введение ограничений,44229,Кувейт,Все регионы,"введены временные ограничения на транзит по территории Российской Федерации живой птицы, происходящей из Кувейта"
44232.53572916667,ФС-АРэ-7/3661-3,Введение ограничений,44232,Индия,Все регионы,временные ограничения на транзит по территории Российской Федерации живой птицы происходящей с территории Индии
44232.70978009259,ФС-АРэ-7/3662-3,Введение ограничений,44232,Германия,Свободное государство Бавария; Мекленбург-Передняя Померания,живая птица
44235.61203703703,ФС-АРэ-7/3663-3,Введение ограничений,44235,Чешская Республика,Среднечешский,живая птица
44235.75922453704,ФС-АРэ-7/3664-3,Введение ограничений,44235,Болгария,Все регионы,живая птица
44237.74100694444,ФС-АРэ-7/3668-3,Введение ограничений,44237,Гонконг,Все регионы,"домашних свиней и содержащихся в  неволе диких свиней, происходящих с территории  Гонконга"
44238.66630787037,ФС-АРэ-7/3671-3,Введение ограничений,44238,"Танзания, Объединенная Республика",Все регионы,"домашних свиней и содержащихся в неволе диких свиней, происходящих с территории  Республики Танзания"
44239.6659375,ФС-АРэ-7/3672-3,Введение ограничений,44239,Финляндия,Все регионы,живая птица
44239.67120370371,ФС-АРэ-7/3673-3,Введение ограничений,44239,Германия,Все регионы,живая птица
44247.73425925926,ФС-АРэ-7/3685-3,Введение ограничений,44247,Германия,Все регионы,живая птица
44247.76690972222,ФС-АРэ-7/3686-3,Введение ограничений,44247,Швеция,Вестра-Гёталанд,живая птица
44252.5883912037,ФС-АРэ-7/3690-3,Введение ограничений,44252,Эстония,Все регионы,живая птица
44257.47798611111,ФС-АРэ-7/3692-3,Введение ограничений,44257,Таиланд,Все регионы,"домашних овец и коз, диких восприимчивых к указанному заболеванию жвачных из Королевства Таиланд по территории Российской Федерации."
44257.5371875,ФС-АРэ-7/3693-3,Введение ограничений,44257,Алжир,Все регионы,живой птицы происходящей из Алжирской Народной Демократической Республики
44258.4203125,ФС-АРэ-7/3695-3,Введение ограничений,44258,Чешская Республика,Высочина; Пардубицкий; Пльзенский,живая птица
