Номер указания,Продукция (ввоз)
ФС-АРэ-7/3379-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3379-3,"мяса птицы, готовой мясной продукции из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы"
ФС-АРэ-7/3379-3,кормов и кормовых добавок для птиц
ФС-АРэ-7/3379-3,"бывшего в употреблении оборудования для содержания, убоя и разделки птиц"
ФС-АРэ-7/3379-3,транзит живой птицы с упомянутой территории по территории России
ФС-АРэ-7/3382-3,"живые свиньи, эмбрионы свиней и сперма хряков, продукты убоя свиней, мясо свинины и продукция, содержащая мясо свинины, за исключением видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3382-3,"готовой продукции, содержащей в своем составе свинину или сырье животного происхождения (из свинины)"
ФС-АРэ-7/3382-3,"сырья животного происхождения (из свинины), предназначенного для производства кормов для непродуктивных животных и пушных"
ФС-АРэ-7/3394-3,"живые свиньи, эмбрионы свиней и сперма хряков, продукты убоя свиней, мясо свинины и продукция, содержащая мясо свинины, за исключением видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3394-3,"готовой продукции, содержащей в своем составе свинину или сырье животного происхождения (из свинины)"
ФС-АРэ-7/3394-3,"сырья животного происхождения (из свинины), предназначенного для производства кормов для непродуктивных животных и пушных"
ФС-АРэ-7/3418-3,"живые свиньи, эмбрионы свиней и сперма хряков, продукты убоя свиней, мясо свинины и продукция, содержащая мясо свинины, за исключением видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3418-3,"готовой продукции, содержащей в своем составе свинину или сырье животного происхождения (из свинины)"
ФС-АРэ-7/3418-3,"сырья животного происхождения (из свинины), предназначенного для производства кормов для непродуктивных животных и пушных"
ФС-АРэ-7/3425-3,"живые свиньи, эмбрионы свиней и сперма хряков, продукты убоя свиней, мясо свинины и продукция, содержащая мясо свинины, за исключением видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3425-3,"готовой продукции, содержащей в своем составе свинину или сырье животного происхождения (из свинины)"
ФС-АРэ-7/3425-3,"сырья животного происхождения (из свинины), предназначенного для производства кормов для непродуктивных животных и пушных"
ФС-АРэ-7/3426-3,восприимчивые к ящуру живых животные
ФС-АРэ-7/3426-3,"генетический материал (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/3426-3,"сырое мясо и мясопродукция, не подвергнутая тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ)"
ФС-АРэ-7/3426-3,"молоко и молочная продукция (не подвергнутые тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
